Company Name,Sector,Ticker,MarketCap,MarketCap2,,3M India Ltd.,3M India Ltd.,"18,450",-1.16%,"21,028","25,209","15,686",19.53,96.03,10.14,39.57
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,,"1,48,693",,Amara Raja Batteries Ltd.,Very Good,690.1,0.88%,"11,685",814,350.2,15.09,17.68,3.2,12.23
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,,"1,19,527",,Add to ,,,,,,,,,,
BASF India Ltd.,CHEMICALS,BASF,,5352,,Amber Enterprises India Ltd.,Somewhat,"1,482",2.90%,"4,530","1,690",750,9.77,28.6,4.01,21.95
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,,2666,,Add to ,Good,,,,,,,,,
BSE Ltd.,FINANCIAL SERVICES,BSE,,2132,,Ambuja Cements Ltd.,Very Good,195.8,1.11%,"38,462",224.9,136.7,6.99,25.63,1.7,15.72
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,,83012,,Add to ,,,,,,,,,,
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,,2162,,APL Apollo Tubes Ltd.,Somewhat,"1,786",1.25%,"4,387","2,217","1,025",16.63,18.44,3.24,13.15
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,,500,,Add to ,Good,,,,,,,,,
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,,"1,78,641",,Apollo Hospitals Enterprise Ltd.,Very Good,"1,380",1.31%,"18,949","1,814","1,047",8.09,40.3,4.75,21.42
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,,98622,,Add to ,,,,,,,,,,
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,,28789,,Apollo Tyres Ltd.,Somewhat,114.3,3.20%,"6,338",202.9,73.55,9.26,12.46,0.82,5.98
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,,24701,,Add to ,Good,,,,,,,,,
Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE,,500,,Arvind Fashions Ltd.,Not Good,164.8,4.44%,"1,557",526.1,110.5,1.54,0,1.31,7.68
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,,2892,,Add to ,,,,,,,,,,
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,,55732,,Asahi India Glass Ltd.,Somewhat,173.9,-0.80%,"4,263",276.9,118.4,16.94,26.66,3.17,11.01
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,,23773,,Add to ,Good,,,,,,,,,
