Company Name,Sector,Ticker,MarketCap,MarketCap2,,3M India Ltd.,3M India Ltd.,"18,450",-1.16%,"21,028","25,209","15,686",19.53,96.03,10.14,39.57
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,,2408,,Central Depository Services (India) Ltd.,Very Good,0,-,"2,872",0,0,18.13,27.06,3.97,-
Gujarat Fluorochemicals Ltd.,CHEMICALS,FLUOROCHEM,,500,,Add to ,,,,,,,,,,
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,,22115,,Century Plyboards (India) Ltd.,Very Good,125,4.91%,"2,647",181.6,95,18.03,16.74,2.47,10.27
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,,1297,,Add to ,,,,,,,,,,
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,,500,,Cera Sanitaryware Ltd.,Very Good,"2,192",0.72%,"2,831","3,015","2,001",16.71,24.5,3.74,14.02
Gujarat Pipavav Port Ltd.,SERVICES,GPPL,,3819,,Add to ,,,,,,,,,,
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,,2172,,CESC Ltd.,Very Good,629.1,-1.02%,"8,425",854.9,366.2,5.29,9.18,0.84,9.12
Gujarat State Petronet Ltd.,OIL & GAS,GSPL,,12682,,Add to ,,,,,,,,,,
Gulf Oil Lubricants India Ltd.,OIL & GAS,GULFOILLUB,,2886,,Chalet Hotels Ltd.,Somewhat,130.8,-1.21%,"2,713",395,99,0.94,27.24,1.75,12.32
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,,500,,Add to ,Good,,,,,,,,,
HCL Technologies Ltd.,IT,HCLTECH,,"1,54,638",,Chambal Fertilisers & Chemicals Ltd.,Not Good,146.7,-0.54%,"6,139",186.5,95.25,22.36,5.01,1.57,11.88
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,,53556,,Add to ,,,,,,,,,,
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,,"5,98,276",,Chennai Petroleum Corporation Ltd.,Not Good,80.15,-0.19%,"1,196",213,47.7,-1.21,0,1,10.34
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,,500,,Add to ,,,,,,,,,,
HFCL Ltd.,TELECOM,HFCL,,2036,,Cholamandalam Financial Holdings Ltd.,Somewhat,300.8,-0.61%,"5,680",568.2,222,6.39,68.17,5.08,-
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,,500,,Add to ,Good,,,,,,,,,
Hatsun Agro Product Ltd.,CONSUMER GOODS,HATSUN,,500,,Cholamandalam Investment & Finance Company Ltd.,Very Good,196.7,-0.25%,"16,163",348.9,117.4,21.04,15.36,1.98,-
Havells India Ltd.,CONSUMER GOODS,HAVELLS,,36374,,Add to ,,,,,,,,,,
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,,500,,Cipla Ltd.,Very Good,638.9,-1.08%,"52,069",696,356.8,12.03,22.46,2.99,19.98
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,,1205,,Add to ,,,,,,,,,,
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,,53382,,City Union Bank Ltd.,Very Good,123.5,-0.56%,"9,204",249,110.1,15.17,19.32,1.74,-
Hexaware Technologies Ltd.,IT,HEXAWARE,,10036,,Add to ,,,,,,,,,,
Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL,,2000,,Coal India Ltd.,Very Good,135.2,1.12%,"82,365",253.6,119.2,74.93,4.93,2.56,2.1
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,,628,,Add to ,,,,,,,,,,
Hindalco Industries Ltd.,METALS,HINDALCO,,33189,,Cochin Shipyard Ltd.,Somewhat,308.6,2.08%,"3,976",491.1,209,14.51,6.29,1.07,2.67
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL,,25816,,Add to ,Good,,,,,,,,,
Hindustan Copper Ltd.,METALS,HINDCOPPER,,3025,,Colgate-Palmolive (India) Ltd.,Very Good,"1,382",0.48%,"37,413","1,641","1,065",50.76,45.82,23.47,30.01
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,,32777,,Add to ,,,,,,,,,,
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,,"5,05,298",,Container Corporation Of India Ltd.,Very Good,429.8,1.80%,"25,724",665,263.2,12.29,68.46,2.56,14.75
Hindustan Zinc Ltd.,METALS,HINDZINC,,82964,,Add to ,,,,,,,,,,
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT,,26281,,Coromandel International Ltd.,Very Good,749.4,-0.35%,"22,044",769,336.5,34.46,20.7,5.11,12.87
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO,,6646,,Add to ,,,,,,,,,,
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,,"3,27,720",,CreditAccess Grameen Ltd.,Very Good,535,1.22%,"7,614","1,001",305.8,0,0,0,-
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,,"2,34,883",,Add to ,,,,,,,,,,
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,,500,,CRISIL Ltd.,Very Good,"1,703",1.22%,"12,195","2,070","1,084",29.26,34.31,10.22,25.38
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,,61075,,Add to ,,,,,,,,,,
ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC,,15890,,Crompton Greaves Consumer Electricals Ltd.,Very Good,236.2,-1.52%,"15,045",301.4,177.9,36.73,30.41,11.34,24.81
ICRA Ltd.,FINANCIAL SERVICES,ICRA,,2409,,Add to ,,,,,,,,,,
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,,50034,,Cummins India Ltd.,Very Good,410.7,3.31%,"11,020",766.2,281.6,17.01,15.62,2.5,11.97
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,,15202,,Add to ,,,,,,,,,,
IDFC Ltd.,FINANCIAL SERVICES,IDFC,,3049,,Cyient Ltd.,Very Good,266.9,-2.64%,"3,015",557,184.2,19.62,8.8,1.18,3.77
IFB Industries Ltd.,CONSUMER GOODS,IFBIND,,1702,,Add to ,,,,,,,,,,
IFCI Ltd.,FINANCIAL SERVICES,IFCI,,1509,,Dabur India Ltd.,Very Good,467.1,0.38%,"82,255",525.3,385.1,26.24,56.93,12.45,47
IIFL Finance Ltd.,FINANCIAL SERVICES,IIFL,,2868,,Add to ,,,,,,,,,,
IIFL Wealth Management Ltd.,FINANCIAL SERVICES,IIFLWAM,,500,,Dalmia Bharat Ltd.,Very Good,712.7,1.05%,"13,609","1,071",406,2.4,972.1,1.29,8.61
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,,3344,,Add to ,,,,,,,,,,
IRCON International Ltd.,CONSTRUCTION,IRCON,,4380,,DB Corp Ltd.,Not Good,77.05,2.94%,"1,310",197.4,59,14.83,4.76,0.78,2.44
ITC Ltd.,CONSUMER GOODS,ITC,,"2,53,220",,Add to ,,,,,,,,,,
ITI Ltd.,TELECOM,ITI,,9543,,DCB Bank Ltd.,Very Good,79.95,-0.81%,"2,502",244.1,58.1,11.16,7.4,0.79,-
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,,500,,Add to ,,,,,,,,,,
India Tourism Development Corporation Ltd.,SERVICES,ITDC,,1820,,DCM Shriram Ltd.,Not Good,316.1,-0.38%,"4,948",590,175.8,19.26,6.65,1.21,5.46
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,,9627,,Add to ,,,,,,,,,,
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,,2446,,Deepak Nitrite Ltd.,Somewhat,478.9,-0.63%,"6,573",570,256.9,14.49,12.08,4.41,21.87
Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES,,7301,,Add to ,Good,,,,,,,,,
Indiamart Intermesh Ltd.,CONSUMER GOODS,INDIAMART,,6128,,Delta Corp Ltd.,Not Good,90.55,0.44%,"2,443",224.8,54,9.51,24.53,1.27,9.6
Indian Bank,FINANCIAL SERVICES,INDIANB,,7420,,Add to ,,,,,,,,,,
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,,5507,,Dewan Housing Finance Corporation Ltd.,Not Good,16.5,1.85%,508,86.7,8.4,-12,0,-0.09,-
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL,,500,,Add to ,,,,,,,,,,
Indian Oil Corporation Ltd.,OIL & GAS,IOC,,83221,,Dilip Buildcon Ltd.,Not Good,281,-1.44%,"3,899",499,193.4,21.58,10.9,1.22,6.08
Indian Overseas Bank ,FINANCIAL SERVICES,IOB,,500,,Add to ,,,,,,,,,,
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,,500,,Dish TV India Ltd.,Somewhat,8.6,0.35%,"1,578",34.8,3.93,-1.69,0,0.3,4.2
IndoStar Capital Finance Ltd.,FINANCIAL SERVICES,INDOSTAR,,3350,,Add to ,Good,,,,,,,,,
Indoco Remedies Ltd.,PHARMA,INDOCO,,500,,Dishman Carbogen Amcis Ltd.,Somewhat,126.8,0.79%,"1,977",232,46.45,4.26,10.96,0.34,5.05
Indraprastha Gas Ltd.,OIL & GAS,IGL,,31115,,Add to ,Good,,,,,,,,,
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,,34307,,Divis Laboratories Ltd.,Very Good,"2,190",-0.32%,"58,326","2,538","1,467",20.98,42.37,7.98,29.91
Infibeam Avenues Ltd.,IT,INFIBEAM,,4327,,Add to ,,,,,,,,,,
Info Edge (India) Ltd.,IT,NAUKRI,,34164,,Dixon Technologies (India) Ltd.,Somewhat,"5,978",0.45%,"6,885","6,050","1,831",17.81,57.14,12.72,51.29
Infosys Ltd.,IT,INFY,,"3,22,120",,Add to ,Good,,,,,,,,,
Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,INGERRAND,,500,,DLF Ltd.,Not Good,151.3,-0.98%,"37,835",266.6,114.5,2.96,16.71,1.41,31.82
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR,,2404,,Add to ,,,,,,,,,,
Intellect Design Arena Ltd.,IT,INTELLECT,,1445,,Dr. Lal Pathlabs Ltd.,Very Good,"1,619",2.97%,"13,102","1,846","1,038",22.6,58.7,12.89,44
InterGlobe Aviation Ltd.,SERVICES,INDIGO,,38555,,Add to ,,,,,,,,,,
Ipca Laboratories Ltd.,PHARMA,IPCALAB,,20928,,Dr. Reddys Laboratories Ltd.,Very Good,"3,921",0.03%,"65,161","4,189","2,352",13.76,32.16,4.18,20.93
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,,500,,Add to ,,,,,,,,,,
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT,,500,,E.I.D. Parry (India) Ltd.,Not Good,263.8,-0.83%,"4,708",295.6,100,7.79,0,2.75,-
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,,3064,,Add to ,,,,,,,,,,
JK Paper Ltd.,PAPER,JKPAPER,,1779,,eClerx Services Ltd.,Somewhat,476.3,1.16%,"1,741",762,323.1,17.03,8.33,1.33,3.26
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,,1582,,Add to ,Good,,,,,,,,,
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL,,6949,,Edelweiss Financial Services Ltd.,Somewhat,60.5,-0.08%,"5,661",179.2,29.9,14.38,13.1,0.72,-
JSW Energy Ltd.,POWER,JSWENERGY,,8280,,Add to ,Good,,,,,,,,,
JSW Steel Ltd.,METALS,JSWSTEEL,,47015,,Eicher Motors Ltd.,Very Good,"18,982",3.44%,"50,108","23,428","12,460",27.69,27.42,5.02,16.1
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN,,1156,,Add to ,,,,,,,,,,
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,,1635,,EIH Ltd.,Not Good,65.2,-0.91%,"3,761",188,54.7,3.7,30.22,1.29,13.28
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,,500,,Add to ,,,,,,,,,,
Jamna Auto Industries Ltd.,AUTOMOBILE,JAMNAAUTO,,1273,,Elgi Equipments Ltd.,Somewhat,148.8,3.59%,"2,275",309.6,102.2,13.32,22.66,3.2,15.98
Jindal Saw Ltd.,METALS,JINDALSAW,,1859,,Add to ,Good,,,,,,,,,
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR,,1669,,Emami Ltd.,Very Good,229.8,2.16%,"10,211",357,140.8,15.18,33.71,5.6,13.89
Jindal Stainless Ltd.,METALS,JSL,,1998,,Add to ,,,,,,,,,,
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,,15698,,Endurance Technologies Ltd.,Somewhat,876.6,1.88%,"12,103","1,202",562,21.36,21.4,4.03,10.86
Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC,,6068,,Add to ,Good,,,,,,,,,
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,,22753,,Engineers India Ltd.,Very Good,74.95,-0.07%,"4,739",124.4,49.85,16.11,11.02,2.02,5.53
Jubilant Life Sciences Ltd.,PHARMA,JUBILANT,,10828,,Add to ,,,,,,,,,,
Justdial Ltd.,IT,JUSTDIAL,,500,,Equitas Holdings Ltd.,Somewhat,53.5,-2.37%,"1,873",131.2,32.75,7.66,9.15,0.67,-
Jyothy Labs Ltd.,CONSUMER GOODS,JYOTHYLAB,,4335,,Add to ,Good,,,,,,,,,
K.P.R. Mill Ltd.,TEXTILES,KPRMILL,,500,,Eris Lifesciences Ltd.,Very Good,447.1,-0.26%,"6,086",593.4,341.1,26.99,20.54,4.7,17.2
KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,KEI,,3161,,Add to ,,,,,,,,,,
KNR Constructions Ltd.,CONSTRUCTION,KNRCON,,500,,Escorts Ltd.,Somewhat,"1,060",1.79%,"12,763","1,070",423.3,18.95,27.03,4.09,17.53
KPIT Technologies Ltd.,IT,KPITTECH,,1676,,Add to ,Good,,,,,,,,,
KRBL Ltd.,CONSUMER GOODS,KRBL,,6257,,Essel Propack Ltd.,Somewhat,182.1,-2.31%,"5,880",205,78.85,9.68,55.59,8.44,33.89
KSB Ltd.,INDUSTRIAL MANUFACTURING,KSB,,500,,Add to ,Good,,,,,,,,,
Kajaria Ceramics Ltd.,CONSTRUCTION,KAJARIACER,,6319,,Exide Industries Ltd.,Very Good,153.3,0.20%,"13,009",209.9,121.9,13.4,15.76,2.07,8.97
Kalpataru Power Transmission Ltd.,POWER,KALPATPOWR,,3458,,Add to ,,,,,,,,,,
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,,24850,,FDC Ltd.,Somewhat,266,-1.30%,"4,608",297.7,152,11.74,18.67,2.99,19.03
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,,500,,Add to ,Good,,,,,,,,,
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,,2758,,Federal-Mogul Goetze (India) Ltd.,Somewhat,382.7,-2.12%,"2,175",664.9,239.3,11.94,66.94,2.66,9.43
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,,3664,,Add to ,Good,,,,,,,,,
Kec International Ltd.,CONSTRUCTION,KEC,,7001,,Fine Organic Industries Ltd.,Somewhat,"1,885",1.12%,"5,715","2,548","1,310",28.71,34.68,9.23,24.55
Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL,,500,,Add to ,Good,,,,,,,,,
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,,"2,67,465",,Finolex Cables Ltd.,Very Good,292.9,0.74%,"4,447",433,165,12.91,11.05,1.64,8.4
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,,13874,,Add to ,,,,,,,,,,
L&T Technology Services Ltd.,IT,LTTS,,13564,,Finolex Industries Ltd.,Very Good,495.1,-0.48%,"6,174",635,283,13.49,19.04,3.2,9.94
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,,14239,,Add to ,,,,,,,,,,
La Opala RG Ltd.,CONSUMER GOODS,LAOPALA,,500,,Firstsource Solutions Ltd.,Not Good,36.8,0.68%,"2,537",55.3,20.65,8.15,13.94,1.24,9.34
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,,3021,,Add to ,,,,,,,,,,
Larsen & Toubro Infotech Ltd.,IT,LTI,,34238,,Fortis Healthcare Ltd.,Somewhat,126.8,-1.32%,"9,701",169,111.6,1.95,18.9,1.09,-
Larsen & Toubro Ltd.,CONSTRUCTION,LT,,"1,32,067",,Add to ,Good,,,,,,,,,
Laurus Labs Ltd.,PHARMA,LAURUSLABS,,5616,,Future Consumer Ltd.,Not Good,14.6,-4.89%,"2,949",42.1,5.44,2.7,39.1,1.74,42.27
Lemon Tree Hotels Ltd.,SERVICES,LEMONTREE,,1866,,Add to ,,,,,,,,,,
Linde India Ltd.,CHEMICALS,LINDEINDIA,,5337,,Future Lifestyle Fashions Ltd.,Not Good,155.5,-4.98%,"3,302",500,91.4,10.82,26.1,1.87,7.61
Lupin Ltd.,PHARMA,LUPIN,,40552,,Add to ,,,,,,,,,,
Lux Industries Ltd.,TEXTILES,LUXIND,,2893,,Future Retail Ltd.,Not Good,136.6,-3.91%,"7,705",482.2,61.05,19.14,11.17,1.51,9.63
MAS Financial Services Ltd.,FINANCIAL SERVICES,MASFIN,,3386,,Add to ,,,,,,,,,,
MMTC Ltd.,SERVICES,MMTC,,2573,,GAIL (India) Ltd.,Very Good,104.8,1.35%,"46,657",154.7,65.7,14.28,7.05,1.11,4.83
MOIL Ltd.,METALS,MOIL,,3644,,Add to ,,,,,,,,,,
MRF Ltd.,AUTOMOBILE,MRF,,28025,,Galaxy Surfactants Ltd.,Somewhat,"1,600",3.11%,"5,502","1,790",975,24.48,24.49,5.29,16.34
Mahanagar Gas Ltd.,OIL & GAS,MGL,,10355,,Add to ,Good,,,,,,,,,
Maharashtra Scooters Ltd.,AUTOMOBILE,MAHSCOOTER,,2881,,Garware Technical Fibres Ltd.,Very Good,"1,427",2.14%,"3,057","1,694",872.5,18.96,17.18,3.96,17.26
Maharashtra Seamless Ltd.,METALS,MAHSEAMLES,,1521,,Add to ,,,,,,,,,,
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,,11429,,Gayatri Projects Ltd.,Not Good,16.1,3.54%,291,156.9,7.75,14.76,3.08,0.24,3.99
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,,65861,,Add to ,,,,,,,,,,
Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,MAHINDCIE,,4423,,GE Power India Ltd.,Very Good,468,1.53%,"3,099",877.6,362.9,13.63,36.43,3.37,11.87
Mahindra Holidays & Resorts India Ltd.,SERVICES,MHRIL,,2375,,Add to ,,,,,,,,,,
Mahindra Logistics Ltd.,SERVICES,MAHLOG,,2001,,GE T&D India Ltd.,Somewhat,80.75,4.94%,"1,970",243.2,58,17.27,0,1.87,4.29
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,,13476,,Add to ,Good,,,,,,,,,
Mangalore Refinery & Petrochemicals Ltd.,OIL & GAS,MRPL,,6563,,General Insurance Corporation of India Ltd.,Somewhat,153.7,0.79%,"26,755",333.9,81.7,10.15,0,1.18,-
Marico Ltd.,CONSUMER GOODS,MARICO,,46162,,Add to ,Good,,,,,,,,,
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,,"1,79,691",,GHCL Ltd.,Somewhat,144.6,2.26%,"1,343",240.8,68.8,19.41,3.39,0.63,3.38
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,,14707,,Add to ,Good,,,,,,,,,
Metropolis Healthcare Ltd.,HEALTHCARE SERVICES,METROPOLIS,,6865,,Gillette India Ltd.,Somewhat,"5,146",-0.97%,"16,932","8,200","4,420",34.56,73.29,19.54,43.81
MindTree Ltd.,IT,MINDTREE,,15430,,Add to ,Good,,,,,,,,,
Minda Corporation Ltd.,AUTOMOBILE,MINDACORP,,1681,,Glaxosmithkline Pharmaceuticals Ltd.,Very Good,"1,467",-0.04%,"24,854","1,745","1,046",20.36,266.68,13.65,39.14
Minda Industries Ltd.,AUTOMOBILE,MINDAIND,,7085,,Add to ,,,,,,,,,,
Mishra Dhatu Nigam Ltd.,METALS,MIDHANI,,4011,,Glenmark Pharmaceuticals Ltd.,Somewhat,432.6,-0.60%,"12,280",572.7,168,12.69,15.83,2.02,9.96
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,,32732,,Add to ,Good,,,,,,,,,
Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,MOTILALOFS,,8884,,GMR Infrastructure Ltd.,Not Good,21.45,1.66%,"12,736",26.55,14.1,-7.39,0,1.19,-
MphasiS Ltd.,IT,MPHASIS,,16233,,Add to ,,,,,,,,,,
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,,6516,,Godfrey Phillips India Ltd.,Somewhat,982.4,-0.24%,"5,120","1,480",675.3,11.35,13.2,2.48,12.37
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,,44461,,Add to ,Good,,,,,,,,,
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,,11643,,Godrej Agrovet Ltd.,Somewhat,433.4,-0.43%,"8,359",598,265.1,16.18,27.3,4.55,19.14
NBCC (India) Ltd.,CONSTRUCTION,NBCC,,4455,,Add to ,Good,,,,,,,,,
NCC Ltd.,CONSTRUCTION,NCC,,1869,,Godrej Consumer Products Ltd.,Very Good,717.5,2.95%,"71,255",771.8,425.1,32.16,47.61,9.02,34.11
NESCO Ltd.,SERVICES,NESCO,,3078,,Add to ,,,,,,,,,,
NHPC Ltd.,POWER,NHPC,,20391,,Godrej Industries Ltd.,Not Good,393.9,-1.78%,"13,498",507.6,234,-5.09,438.1,8.28,39.13
NIIT Technologies Ltd.,IT,NIITTECH,,8838,,Add to ,,,,,,,,,,
NLC India Ltd.,POWER,NLCINDIA,,6295,,Godrej Properties Ltd.,Not Good,893.2,2.97%,"21,868","1,188",505.9,5,69.91,4.43,-
NMDC Ltd.,METALS,NMDC,,25000,,Add to ,,,,,,,,,,
NTPC Ltd.,POWER,NTPC,,92366,,Granules India Ltd.,Somewhat,209.1,0.65%,"5,282",224.6,84.25,11.31,11.89,2.92,18.67
Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,NH,,5483,,Add to ,Good,,,,,,,,,
National Aluminium Co. Ltd.,METALS,NATIONALUM,,500,,Graphite India Ltd.,Somewhat,189.5,0.32%,"3,691",383.9,103,76.27,119.05,0.97,0.48
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL,,1550,,Add to ,Good,,,,,,,,,
Nava Bharat Ventures Ltd.,POWER,NBVENTURES,,942,,Grasim Industries Ltd.,Very Good,628.4,1.68%,"40,649",949.9,380,6.05,9.19,0.72,7.07
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,,8330,,Add to ,,,,,,,,,,
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,,"1,61,805",,Greaves Cotton Ltd.,Very Good,86.05,-0.52%,"2,000",154.2,66.25,16.1,15.48,2.5,6.61
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,,1700,,Add to ,,,,,,,,,,
Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,NAM-INDIA,,19410,,Grindwell Norton Ltd.,Very Good,487.6,-0.39%,"5,420",699,369.2,15.54,29.62,4.62,19.76
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,,13092,,Add to ,,,,,,,,,,
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,,"1,03,032",,Gujarat Alkalies & Chemicals Ltd.,Somewhat,330.9,0.92%,"2,408",522,165,17.04,7.23,0.52,2.13
Oil India Ltd.,OIL & GAS,OIL,,10345,,Add to ,Good,,,,,,,,,
Omaxe Ltd.,CONSTRUCTION,OMAXE,,2092,,Gujarat Gas Ltd.,Very Good,321.9,0.19%,"22,115",330,154.4,21.33,18.53,6.72,24.1
Oracle Financial Services Software Ltd.,IT,OFSS,,24564,,Add to ,,,,,,,,,,
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM,,1449,,Gujarat Mineral Development Corporation Ltd.,Somewhat,40.5,-0.74%,"1,297",75.55,29.5,7.99,6.4,0.31,2.28
Orient Electric Ltd.,CONSUMER GOODS,ORIENTELEC,,4175,,Add to ,Good,,,,,,,,,
Orient Refractories Ltd.,INDUSTRIAL MANUFACTURING,ORIENTREF,,2118,,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Somewhat,154.3,0.26%,"2,393",258,95.7,15.2,6.77,0.47,2.71
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,,21581,,Add to ,Good,,,,,,,,,
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,,3576,,Gujarat Pipavav Port Ltd.,Very Good,77.85,-1.46%,"3,819",99.3,45.5,10.28,13.06,1.83,8.4
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,,3825,,Add to ,,,,,,,,,,
PTC India Ltd.,POWER,PTC,,1455,,Gujarat State Fertilizers & Chemicals Ltd.,Somewhat,54.35,-0.28%,"2,172",97.7,29.9,7.41,22,0.32,3.91
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,,5214,,Add to ,Good,,,,,,,,,
Page Industries Ltd.,TEXTILES,PAGEIND,,22612,,Gujarat State Petronet Ltd.,Very Good,221.2,-1.58%,"12,682",263.4,146,14.71,11.44,1.89,9.65
Persistent Systems Ltd.,IT,PERSISTENT,,4914,,Add to ,,,,,,,,,,
Petronet LNG Ltd.,OIL & GAS,PETRONET,,39203,,Gulf Oil Lubricants India Ltd.,Somewhat,581.7,1.05%,"2,886",900.5,450,0,0,0,-
Pfizer Ltd.,PHARMA,PFIZER,,19120,,Add to ,Good,,,,,,,,,
Phillips Carbon Black Ltd.,CHEMICALS,PHILIPCARB,,1729,,Hatsun Agro Products Ltd.,Very Good,651.3,1.03%,"10,423",774.9,375.1,20.59,92.83,11.52,25.39
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD,,8423,,Add to ,,,,,,,,,,
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,,70553,,Havells India Ltd.,Very Good,579.8,-0.22%,"36,374",795,447.2,17.04,49.62,8.45,33.15
Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL,,31330,,Add to ,,,,,,,,,,
Poly Medicure Ltd.,PHARMA,POLYMED,,500,,HCL Technologies Ltd.,Very Good,579,1.61%,"1,54,638",624,375.5,25.41,13.99,3.02,10.68
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB,,12528,,Add to ,,,,,,,,,,
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,,22427,,HDFC Asset Management Company Ltd.,Very Good,"2,545",1.13%,"53,556","3,844","1,888",0,0,0,-
Power Grid Corporation of India Ltd.,POWER,POWERGRID,,91553,,Add to ,,,,,,,,,,
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,,1187,,HDFC Bank Ltd.,Very Good,"1,074",-1.42%,"5,98,276","1,304",738.9,16.54,21.95,3.39,-
