Company Name,Sector,Ticker,MarketCap
NCC Ltd.,CONSTRUCTION,NCC,1869
NESCO Ltd.,SERVICES,NESCO,3078
NHPC Ltd.,POWER,NHPC,20391
NIIT Technologies Ltd.,IT,NIITTECH,8838
NLC India Ltd.,POWER,NLCINDIA,6295
NMDC Ltd.,METALS,NMDC,25000
NTPC Ltd.,POWER,NTPC,92366
Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,NH,5483
National Aluminium Co. Ltd.,METALS,NATIONALUM,500
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL,1550
Nava Bharat Ventures Ltd.,POWER,NBVENTURES,942
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,8330
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,161805
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,1700
Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,NAM-INDIA,19410
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,13092
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,103032
Oil India Ltd.,OIL & GAS,OIL,10345
Omaxe Ltd.,CONSTRUCTION,OMAXE,2092
Oracle Financial Services Software Ltd.,IT,OFSS,24564
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM,1449
Orient Electric Ltd.,CONSUMER GOODS,ORIENTELEC,4175
Orient Refractories Ltd.,INDUSTRIAL MANUFACTURING,ORIENTREF,2118
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,21581
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,3576
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,3825
PTC India Ltd.,POWER,PTC,1455
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,5214
Page Industries Ltd.,TEXTILES,PAGEIND,22612
Persistent Systems Ltd.,IT,PERSISTENT,4914
Petronet LNG Ltd.,OIL & GAS,PETRONET,39203
Pfizer Ltd.,PHARMA,PFIZER,19120
Phillips Carbon Black Ltd.,CHEMICALS,PHILIPCARB,1729
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD,8423
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,70553
Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL,31330
Poly Medicure Ltd.,PHARMA,POLYMED,500
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB,12528
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,22427
Power Grid Corporation of India Ltd.,POWER,POWERGRID,91553
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,1187
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,500
Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,PRSMJOHNSN,2305
Procter & Gamble Health Ltd.,PHARMA,PGHL,6736
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,33244
Punjab National Bank,FINANCIAL SERVICES,PNB,34114
Quess Corp Ltd.,SERVICES,QUESS,5365
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,9028
REC Ltd.,FINANCIAL SERVICES,RECLTD,21428
RITES Ltd.,SERVICES,RITES,6696
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,500
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,4222
Rain Industries Ltd,CHEMICALS,RAIN,500
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO,13888
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,5286
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,2576
Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI,4906
Raymond Ltd.,TEXTILES,RAYMOND,1892
Redington (India) Ltd.,SERVICES,REDINGTON,3504
Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO,15667
Reliance Industries Ltd.,OIL & GAS,RELIANCE,1190490
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,787
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,81368
SJVN Ltd.,POWER,SJVN,8547
SKF India Ltd.,INDUSTRIAL MANUFACTURING,SKFINDIA,8235
SRF Ltd.,INDUSTRIAL MANUFACTURING,SRF,21026
Sadbhav Engineering Ltd.,CONSTRUCTION,SADBHAV,789
Sanofi India Ltd.,PHARMA,SANOFI,18112
Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,SCHAEFFLER,11030
Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,SCHNEIDER,500
Security and Intelligence Services (India) Ltd.,SERVICES,SIS,500
Sequent Scientific Ltd.,PHARMA,SEQUENT,500
Sheela Foam Ltd.,CONSUMER GOODS,SFL,6998
